2500 5000
754 1571 732668416
383 658 144061166
2350 907 89483390
1933 1573 -176150408
327 1978 -419355124
1693 622 -366357937
1654 2305 92628364
1694 398 585279361
235 1709 -427598177
241 344 70178612
1580 2349 54411584
2443 551 476099308
2301 1167 -132308264
1177 1730 691904111
1069 1832 883589677
1860 2005 459603795
896 734 -157329750
905 2133 -314443203
514 1843 347782515
1772 445 -43087757
2392 814 796007232
1888 2251 358669548
626 1887 68691813
193 1430 711903121
1984 2253 416053131
1714 646 152195868
2457 1220 94154412
1973 2460 880586237
1797 1957 596529165
1870 17 785992208
1261 2016 106586646
432 1378 977853027
1080 1699 886391335
1900 2429 447576845
580 1454 824719420
1460 731 453982656
1159 23 29471012
1483 1755 94331784
995 2424 -65178608
537 1103 -141231472
236 1548 377659195
2030 698 176997587
1802 428 176631744
1959 2047 -25346805
2411 430 73111007
1894 2139 625132121
1212 1387 810032621
1369 1174 956964782
2068 2063 -70156375
145 919 -441402066
1881 2181 649864784
1218 698 638358179
1443 2469 -143996705
2243 1566 -58958005
1800 2139 909245037
683 2416 -64691149
49 2466 -418994850
886 193 -79016345
106 2255 154113555
183 1718 813558395
1309 120 465928159
563 71 305244030
107 353 402059808
1046 1812 584457118
743 107 807322580
1924 1457 -489341756
1831 230 434237825
1272 1913 332353054
910 322 455894857
301 527 599522510
1048 2093 802094754
1856 698 -396224585
1147 726 257622393
970 1286 893987706
256 1235 -30514875
783 364 650362182
509 1299 -159712120
695 607 930968156
593 516 -45261430
1195 653 987712883
2298 1712 -333698343
184 2261 -483465125
1196 2443 293970943
805 455 263599118
1177 1412 258402853
127 2078 332543910
2498 1907 178194678
325 82 700745447
417 1810 -257102096
2375 1224 -194966292
1985 2289 -97395947
863 319 678824934
2421 1203 546603426
1370 2079 -107511548
1945 1326 -130555474
116 1143 711667024
1510 2234 57949994
1101 364 -120673141
667 1305 596384916
1983 989 721714854
675 2193 -37652328
2428 2061 218598353
991 1313 422457930
1065 712 975433282
264 811 -14618486
1753 2196 690686724
1494 2272 -430827378
1128 2174 251552989
2099 179 612768676
2071 2020 -11901444
1047 827 -117263787
